,,,Search Result Columns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Downloaded on:,14-Jul-2026,,,,,,,,,,,,,,,,,,,,
Created for:,"Stewart Neifert, Johns Hopkins Technology Ventures",,,,,,,,,,,,,,,,,,,,
Search Link:,https://my.pitchbook.com/?pcc=1356759-82,,,,,,,,,,,,,,,,,,,,
Search Criteria:,Investor Types: Angels/Incubators; Venture Capital; Assets Under Management: Min: 25M; Fund Strategy: Venture Capital; Fund Vintage Year: From: 2016; Fund Status: Open Funds; Deal Types: All VC Stages; All Series; Investors with Funds having invested in Deals matching criteria; ,,,,,,,,,,,,,,,,,,,,
* All investments represented are equity and add-on investments,,,,,,,,,,,,,,,,,,,,,
Investor ID,Investors,Last Investment Company,Preferred Investment Types,Preferred Geography,Preferred Deal Size,Dry Powder,Preferred Investment Amount,Preferred Verticals,Preferred PitchBook Industry,Investments,Active Portfolio,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Primary Investor Type,AUM,HQ Location,Investor Status,Description,View Investor Online
127623-43,Deepwork Capital,IRYS Insurtech,"Early Stage VC, Later Stage VC, Seed Round",Southeast,,,0.25 - 5.00,"3D Printing, Artificial Intelligence & Machine Learning, Big Data, CleanTech, CloudTech & DevOps, Cybersecurity, Digital Health, EdTech, FinTech, Gaming, HealthTech, InsurTech, Internet of Things, Life Sciences, Mobile, Real Estate Technology, SaaS, Space Technology, TMT, Virtual Reality","Financial Services, Healthcare Technology Systems, Media and Information Services (B2B), Pharmaceuticals and Biotechnology, Software, Therapeutic Devices",7,6,,,,7,Venture Capital,300.00,"Orlando, FL",Actively Seeking New Investments,"Founded in 2015, Deepwork Capital is a venture capital firm headquartered in Orlando, Florida. The firm seeks to invest in technology, mobile, med-tech, reg-tech, prop-tech, mobile gaming, DevOps, therapeutics, immunology, diagnostics, cloud computing, healthcare technology, on-demand services, life sciences, space technology, B2B SaaS, and business solutions sectors based in Florida and its surrounding regions. This firm is a Registered Investment Adviser (RIA).",View Investor Online
593758-45,Early Riders,Onramp Bitcoin,"Early Stage VC, Seed Round",,,,,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain",Information Technology,7,7,1,2,3,6,Venture Capital,50.00,"Wimberley, TX",Actively Seeking New Investments,"Founded in 2024, Early Riders is a venture capital firm based in Austin, Texas. The firm is pioneering the use of bitcoin as a hurdle rate and focuses primarily on investing in digital asset infrastructure businesses at the Pre-Seed to Series A stages of their development.",View Investor Online
494782-21,Emmeline Ventures,Osteoboost,"Early Stage VC, Seed Round","Americas, Asia, Europe, Middle East",,,5.00 - 8.00,"Big Data, CleanTech, Climate Tech, Cybersecurity, Digital Health, FemTech, FinTech, Life Sciences, Supply Chain Tech, TMT","Business Products and Services (B2B), Consumer Products and Services (B2C), Healthcare, Software",7,6,1,1,1,5,Venture Capital,25.00,"Los Angeles, CA",Actively Seeking New Investments,"Founded in 2022, Emmeline Ventures is a venture capital firm based in Los Angeles, California. The firm seeks to make pre-seed and seed-stage investments in female-founded start-ups.",View Investor Online
267814-99,Ennovation Ventures,XinYouKang,"Early Stage VC, Later Stage VC, Seed Round",,,,,"Life Sciences, LOHAS & Wellness, Oncology",Healthcare,7,7,2,5,5,7,Venture Capital,442.21,"Shanghai, China",Actively Seeking New Investments,"Founded in 2015, Ennovation Ventures is a venture capital firm based in Shanghai, China. The firm focuses on making investments in the healthcare sector.",View Investor Online
60708-79,Fuho Capital,GeekGene,"Early Stage VC, Seed Round",,,,,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CleanTech, Industrials, Infrastructure, Internet of Things, Life Sciences, Manufacturing, Oncology, Robotics and Drones, SaaS, TMT","Commercial Products, Computer Hardware, Consumer Durables, Healthcare, Software",7,7,2,5,5,7,Venture Capital,737.02,"Beijing, China",Actively Seeking New Investments,"Founded in 2009, Fuho Capital is a venture capital firm based in Beijing, China. The firm prefers to make investments in healthcare, TMT, technology, and advanced manufacturing sectors.",View Investor Online
510153-31,Further Ventures,ABEX Capital,"Accelerator/Incubator, Early Stage VC, Seed Round",,,,200.00,"B2B Payments, Cryptocurrency/Blockchain, FinTech, HR Tech, InsurTech","Financial Services, IT Services, Logistics, Software",7,7,,,2,6,Venture Capital,200.00,"Abu Dhabi, United Arab Emirates",Actively Seeking New Investments,"Founded in 2022, Further Ventures is a venture capital firm based in Abu Dhabi, United Arab Emirates. The firm seeks to invest in companies operating in fintech, cryptocurrency/blockchain, b2b payment, insurtech, software, it services, and the logistics sector.",View Investor Online
162967-06,HAVAIC,NjiaPay,"Early Stage VC, Seed Round",Africa,,,,"AgTech, AudioTech, B2B Payments, Digital Health, E-Commerce, EdTech, FinTech, HealthTech, HR Tech, InsurTech, Internet of Things, SaaS","Business Products and Services (B2B), Financial Services, Healthcare, Software",7,6,1,2,4,6,Venture Capital,25.00,"Cape Town, South Africa",Actively Seeking New Investments,"Founded in 2015, HAVAIC is a venture capital firm based in Cape Town, South Africa. The firm seeks to invest in B2B, fintech, edtech, e-commerce, healthtech, SaaS, information technology, agtech, insurtech and internet of things.",View Investor Online
160433-29,Impactivist,MindDay,"Early Stage VC, Later Stage VC, Seed Round","France, Spain",,,0.29 - 3.43,"AgTech, Artificial Intelligence & Machine Learning, CleanTech, Climate Tech, Digital Health, EdTech, FemTech, HealthTech, Impact Investing, Life Sciences, Oncology, SaaS","Agriculture, Business Products and Services (B2B), Energy Services, Healthcare, Other Energy, Other Materials, Software, Textiles",7,7,,,,5,Impact Investing,125.94,"Paris, France",Actively Seeking New Investments,"Founded in 2012, Investir &+ is an impact investment firm based in Paris, France. The firm prefers to invest in social and environmental impact sectors.",View Investor Online
170364-97,Kharis Capital,G La Dalle,"Buyout/LBO, PE Growth/Expansion","Asia, Europe",,,50.00 - 300.00,"E-Commerce, FoodTech, Impact Investing, Marketing Tech, Mobile Commerce, Restaurant Technology, Supply Chain Tech, TMT","Consumer Products and Services (B2C), Information Technology",7,4,,,,6,PE/Buyout,"1,300.00","Brussels, Belgium",Actively Seeking New Investments,"Founded in 2015, Kharis Capital is a private equity firm headquartered in Luxembourg. The firm specializes in building scalable platforms in innovative, consumer-driven businesses.",View Investor Online
265329-01,King River Capital,Block Earner,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round","Australia, United States",,,,"Cryptocurrency/Blockchain, TMT",Software,7,6,,2,5,7,Venture Capital,443.00,"Surry Hills, Australia",Actively Seeking New Investments,"Founded in 2018, King River Capital is a venture capital firm based in Surry Hills, Australia. The firm seeks to invest in early to growth-stage software companies primarily based in North America or Australia.",View Investor Online
179530-93,Ocean Azul Partners,Cybord,"Early Stage VC, Seed Round","Israel, North America, United States",,,0.20 - 2.00,"Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Construction Technology, Cybersecurity, FinTech, HealthTech, InsurTech, Real Estate Technology, Robotics and Drones, SaaS, Supply Chain Tech","Communications and Networking, Computer Hardware, Other Information Technology, Software",7,7,3,4,7,7,Venture Capital,54.00,"Coral Gables, FL",Actively Seeking New Investments,"Founded in 2017, Ocean Azul Partners is a venture capital firm based in Coral Gables, Florida. The firm prefers to invest in the United States, North America, and Israel-based companies operating in the deep technology, and business-to-business software sectors.",View Investor Online
58540-33,Portfolion,Mobilfox,"Early Stage VC, Later Stage VC, PE Growth/Expansion",Eastern Europe,,122.48,0.57 - 34.35,"Artificial Intelligence & Machine Learning, B2B Payments, Big Data, CloudTech & DevOps, Cybersecurity, E-Commerce, EdTech, FinTech, Mobile, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech","Electronics (B2C), Healthcare Technology Systems, Media, Other Commercial Services, Software",7,7,,,,7,Growth/Expansion,858.65,"Budapest, Hungary",Actively Seeking New Investments,"Founded in 2010, Portfolion is a CEE-focused Venture Capital and Growth Equity fund headquartered in Budapest, Hungary. The firm invests from Pre-Seed to Series B. It is actively investing out of its 2nd and 3rd generation funds from EUR 500 thousand up to EUR 3 million with its Pre-Seed/Seed-stage focused VC fund, and EUR 5 million up to EUR 30 million with its Growth fund.",View Investor Online
231768-46,Rockstud Capital,Econovus,"Early Stage VC, Seed Round",India,,6.21,0.32 - 1.05,"3D Printing, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, B2B Payments, Beauty, CleanTech, Climate Tech, Construction Technology, EdTech, FinTech, HR Tech, Industrials, Manufacturing, Micro-Mobility, Mobility Tech, Nanotechnology, Robotics and Drones, Space Technology, Virtual Reality, Wearables & Quantified Self","Agriculture, Commercial Services, Commercial Transportation, Financial Services, Healthcare, Restaurants, Hotels and Leisure",7,7,,2,6,7,Venture Capital,"1,383.00","Mumbai, India",Actively Seeking New Investments,"Founded in 2017, Rockstud Capital is a venture capital firm based in Mumbai, India. The firm seeks to invest in companies operating in consumer products, mobility, health tech, enterprise applications, Spacetech, agritech, Sustainability, Industry 4.0, National Security, HealthTech, Consumption & fintech sectors.",View Investor Online
499852-18,Sancus Ventures,Artie,"Early Stage VC, Seed Round",United States,,,0.50 - 4.00,"Artificial Intelligence & Machine Learning, Infrastructure, SaaS",Software,7,7,1,5,6,7,Venture Capital,50.00,"San Francisco Bay Area, CA",Actively Seeking New Investments,"Founded in 2022, Sancus Ventures is a venture capital firm based in San Francisco, California. The firm is a pre-seed and seed-stage investment fund focused on artificial intelligence infrastructure and applications, supporting companies from formation through early growth. The firm is led by Lake Dai, an AI professor at Carnegie Mellon University with prior experience in founding companies and roles at Apple, Alibaba, and Yahoo, and who has managed multiple venture funds. The firm leverages technical expertise in AI and a network of more than 500 industry professionals to invest in early-stage companies, including repeat founders with prior experience building and scaling technology businesses.",View Investor Online
339949-18,Shangqi Capital,SpinQ Technology,"Early Stage VC, Later Stage VC, Seed Round",,,,,"Advanced Manufacturing, Autonomous cars, CleanTech, InsurTech, Internet of Things, SaaS","Commercial Transportation, Computer Hardware, Semiconductors, Software",7,7,2,5,7,7,Corporate Venture Capital,"6,338.41","Shanghai, China",Actively Seeking New Investments,"Founded in 2012, Shangqi Capital is a venture capital arm of Hengxu Capital based in Shanghai, China. The firm seeks to make investments in automotive, information technology, SaaS, cleantech, and advanced manufacturing sectors.",View Investor Online
230398-93,Teknoloji Yat?r?m,Branchsight,"Early Stage VC, Later Stage VC, Seed Round",,,,,"Artificial Intelligence & Machine Learning, Big Data, CleanTech, Climate Tech, HealthTech, Impact Investing, SaaS, TMT","Other Information Technology, Software",7,6,,,,5,Venture Capital,34.35,"Ankara, Turkey",Actively Seeking New Investments,"Founded in 2005, Teknoloji Yat?r?m is a venture capital firm based in Ankara, Turkey. The firm seeks to invest in the technology companies.",View Investor Online
552774-52,Vesna Deep Tech Fund,Ainative,"Early Stage VC, Later Stage VC, Seed Round","Croatia, Slovenia",,,1.14,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Climate Tech","Energy, Healthcare, Information Technology, Materials and Resources",7,7,,2,4,5,Venture Capital,57.24,"Senningerberg, Luxembourg",Actively Seeking New Investments,"Founded in 2024, Vesna Deep Tech Fund is a venture capital investment firm based in Senningerberg, Luxembourg. The firm prefers to invest in deep tech projects and startups.",View Investor Online
58258-27,A&G Global Investors,Enerlis,"Early Stage VC, Later Stage VC","Canada, Europe, United States",,,5.72 - 11.45,"Artificial Intelligence & Machine Learning, Big Data, Car-Sharing, CleanTech, Climate Tech, Industrials, SaaS, Space Technology",,6,6,,1,1,6,Growth/Expansion,"20,748.38","Madrid, Spain",Actively Seeking New Investments,"Founded in 1987, A&G Global Investors is a private equity firm headquartered in Madrid, Spain. The firm provides advisory services on investment solutions and asset management to small and medium-sized companies.",View Investor Online
160299-82,ACT Venture Partners,Cellbricks Therapeutics,"Early Stage VC, Later Stage VC, Seed Round, Spin-Off","Canada, Europe, Middle East, United States",,,1.14,"3D Printing, Advanced Manufacturing, Artificial Intelligence & Machine Learning, Augmented Reality, Big Data, Cannabis, CleanTech, CloudTech & DevOps, Cybersecurity, Digital Health, FemTech, FinTech, FoodTech, HealthTech, Impact Investing, Infrastructure, Internet of Things, Manufacturing, Micro-Mobility, Mobility Tech, Mortgage Tech, Nanotechnology, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, Virtual Reality, Wearables & Quantified Self","Business Products and Services (B2B), Energy, Healthcare, Information Technology, Materials and Resources",6,5,,,,6,Venture Capital,57.24,"Amsterdam, Netherlands",Actively Seeking New Investments,"Founded in 2015, ACT Venture Partners is a venture capital investment firm based in Amsterdam, Netherlands. The firm seeks to invest in early-stage deep technology companies.",View Investor Online
459890-56,Amador Holdings,Fracttal,"Early Stage VC, Later Stage VC, Seed Round","Central America, Mexico, South America",,,0.50 - 1.00,"B2B Payments, Cybersecurity, Digital Health, E-Commerce, EdTech, FemTech, FinTech, FoodTech, Gaming, HealthTech, HR Tech, Infrastructure, InsurTech, Legal Tech, Marketing Tech, Micro-Mobility, Mobile Commerce, Mobility Tech, Mortgage Tech, Pet Technology, Real Estate Technology, Restaurant Technology, Ridesharing, SaaS, TMT","Educational and Training Services (B2C), Healthcare Technology Systems, Internet Retail, Logistics, Other Consumer Products and Services, Other Financial Services, Other Healthcare, Other Transportation, Real Estate Services (B2C), Software",6,6,,1,5,5,Venture Capital,45.00,"Panama City, Panama",Actively Seeking New Investments,"Founded in 2020, Amador Holdings is a venture capital firm based in Ciudad de Panama, Panama. The firm seeks to invest in companies operating in the financial services, mobility, logistics, consumer, education technology, health technology, property technology, and SaaS. The firm operates under a generalist approach but invests primarily in companies operating in FinTech, Consumer and Software across Latin America.",View Investor Online
59161-15,Angelor,Standing Ovation,"Angel (individual), Bonds (Convertible), Early Stage VC, Later Stage VC, Seed Round",France,,,0.57 - 3.43,"CleanTech, Digital Health, HealthTech, Impact Investing, Industrials, Life Sciences, LOHAS & Wellness, Manufacturing, Nanotechnology, Oncology",Healthcare,6,6,2,2,3,6,Venture Capital,40.07,"Lyon, France",Actively Seeking New Investments,"Founded in 2008, Angelor is a venture capital firm based in Lyon, France. The firm invests only in France, in seed and Series A in health activities.",View Investor Online
58899-16,Arkin Capital,Ariel Gabay Drilling & Foundation,"Buyout/LBO, Early Stage VC, IPO, Joint Venture, Later Stage VC, PE Growth/Expansion, Seed Round","Europe, Israel, United States",,,,"Big Data, Digital Health, HealthTech, Infrastructure, InsurTech, Life Sciences, Manufacturing, Mobility Tech, SaaS","Medical Records Systems, Medical Supplies, Other Healthcare, Pharmaceuticals and Biotechnology",6,6,,,1,5,Asset Manager,"2,000.00","Herzliya, Israel",Actively Seeking New Investments,"Founded in 2009, Arkin Capital is a multi-asset investment manager based in Herzliya, Israel. The firm invests through four investment arms, health, equity, technology, and real estate, with a primary focus on healthcare and life sciences. It manages a diversified portfolio across sectors and has completed multiple exits.",View Investor Online
226485-91,Artha Venture Partners (Mumbai),DrinkPrime,"Early Stage VC, Seed Round",India,,100.51,0.21 - 0.84,"3D Printing, Advanced Manufacturing, Artificial Intelligence & Machine Learning, Beauty, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, E-Commerce, EdTech, Esports, FinTech, HealthTech, HR Tech, LOHAS & Wellness, Marketing Tech, Pet Technology, Real Estate Technology, Ridesharing, SaaS, Space Technology, Supply Chain Tech, Wearables & Quantified Self","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Information Technology",6,5,1,3,6,6,Venture Capital,263.23,"Mumbai, India",Actively Seeking New Investments,"Founded in 2018, Artha Venture Partners is a venture capital firm headquartered in Mumbai, India. The firm focuses on early-stage investments through a micro venture capital fund model. Artha Venture Partners is part of Artha India Holdings, a family office investment platform.",View Investor Online
54197-38,Blume Venture Advisors,WizCommerce,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",India,,321.19,2.00 - 5.00,"3D Printing, AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, B2B Payments, Beauty, CleanTech, Climate Tech, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, FinTech, FoodTech, Gaming, HealthTech, HR Tech, InsurTech, Internet of Things, Life Sciences, LOHAS & Wellness, Manufacturing, Marketing Tech, Micro-Mobility, Mobile Commerce, Mobility Tech, Real Estate Technology, Ridesharing, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT, Wearables & Quantified Self","Aerospace and Defense, Agriculture, Apparel and Accessories, Asset Management, Automotive, Beverages, Biotechnology, Brokerage, Business Equipment and Supplies, Casinos and Gaming, Catalog Retail, Connectivity Products, Consumer Finance, Department Stores, Discovery Tools (Healthcare), Distributors/Wholesale (B2C), Drug Delivery, Education and Training Services (B2B), Educational and Training Services (B2C), Electrical Equipment, Electronics (B2C), Fiberoptic Equipment, Food Products, Hotels and Resorts, Household Appliances, Human Capital Services, Industrial Supplies and Parts, Insurance, Internet Retail, Leisure Facilities, Logistics, Machinery (B2B), Media, Media and Information Services (B2B), Other Consumer Durables, Other Energy, Other IT Services, Personal Products, Pharmaceuticals, Printing Services (B2B), Restaurants and Bars, Road, Software, Systems and Information Management",6,6,1,5,6,6,Venture Capital,775.00,"Mumbai, India",Actively Seeking New Investments,"Founded in 2011, Blume Venture Advisors is a venture capital firm based in Mumbai, India. The firm seeks to invest in seed- and pre-Series A-stage technology ventures in India. The firm's focus has been on tech-start-ups across India's consumer internet, enterprise/SaaS, and deep tech.",View Investor Online
123355-81,CDP Venture Capital (Rome),Archimede (Business/Productivity Software),"Accelerator/Incubator, Later Stage VC, PE Growth/Expansion",Italy,,,11.45 - 57.24,"Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, Autonomous cars, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cybersecurity, Digital Health, FinTech, FoodTech, HealthTech, Industrials, Infrastructure, InsurTech, Internet of Things, Life Sciences, Manufacturing, Micro-Mobility, Mobile, Mobility Tech, Nanotechnology, Oil & Gas, Oncology, Real Estate Technology, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self","Agriculture, Application Software, Automotive, Biotechnology, Clothing, Energy, Financial Software, Food Products, Healthcare Devices and Supplies, Other Healthcare Services",6,4,,1,3,6,Venture Capital,"5,609.84","Rome, Italy",Acquired/Merged (Operating Subsidiary),"Founded in 2002, CDP Venture Capital is a venture capital firm based in Rome, Italy. The firm prefers to invest in artificial intelligence, cybersecurity, agrifood technology, clean technology, space technology, healthcare & life science, industry technology, and infrastructure technology & mobility sectors based in Italy.",View Investor Online
56857-15,Cento Ventures,Smart Bricks,"Early Stage VC, Seed Round","Indonesia, Malaysia, Philippines, Singapore, Thailand, Vietnam",,1.64,1.00 - 4.00,"E-Commerce, SaaS, TMT",Software,6,6,2,4,6,6,Venture Capital,80.00,"Singapore, Singapore",Actively Seeking New Investments,"Founded in 2011, Cento Ventures is a venture capital firm headquartered in Singapore. The firm focuses on investing in technology startups building products and services emerging from the digital transformation of growth markets, particularly Southeast Asia and Korea. The firm's other services include supporting startups focused on digital business models and embedded financial services in newly digitising industries. The firm has office locations in Seoul.",View Investor Online
228467-44,CICC Capital,VISTAR (Electrical Equipment),"Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,,,,"Healthcare, Information Technology, IT Services, Semiconductors",6,6,1,4,6,6,PE/Buyout,"66,332.19","Beijing, China",Actively Seeking New Investments,"Founded in 2017, CICC Capital is a private equity firm based in Beijing, China.",View Investor Online
49063-60,GV,Nebex,"Early Stage VC, Later Stage VC, Seed Round",,,,0.25 - 50.00,"AdTech, Advanced Manufacturing, Artificial Intelligence & Machine Learning, Autonomous cars, Big Data, Car-Sharing, CleanTech, Climate Tech, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, HealthTech, Internet of Things, Life Sciences, LOHAS & Wellness, Micro-Mobility, Mobility Tech, Robotics and Drones, SaaS, TMT, Wearables & Quantified Self","Apparel and Accessories, Business/Productivity Software, Consumer Durables, Database Software, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Internet Software, Media, Network Management Software, Other Consumer Products and Services, Other Healthcare, Other Information Technology, Other Software, Pharmaceuticals and Biotechnology, Services (Non-Financial), Transportation",6,5,3,6,6,6,Corporate Venture Capital,"13,000.00","San Francisco, CA",Actively Seeking New Investments,"Founded in 2009, GV is a corporate venture capital firm of Alphabet based in San Francisco, California. The firm invests across the enterprise, life sciences, consumer, crypto, climate, and frontier technology sectors.",View Investor Online
439817-50,LSV Capital Partners,Sironax,"Early Stage VC, Later Stage VC, Seed Round","Bahrain, Europe, India, Israel, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates",,,0.50 - 10.00,"Artificial Intelligence & Machine Learning, Big Data, Digital Health, HealthTech, Internet of Things, Life Sciences, Virtual Reality","Healthcare Devices and Supplies, Healthcare Technology Systems, Pharmaceuticals and Biotechnology, Software",6,2,,,,2,Venture Capital,170.00,"London, United Kingdom",Actively Seeking New Investments,"Founded in 2019, LSV Capital Partners is a venture capital investment firm based in London, United Kingdom. The firm seeks to invest in companies operating in digital health, life sciences, medical devices, biopharmaceutical, digital healthcare, artificial intelligence, biotech, and VR sectors across India, Israel, and Europe.",View Investor Online
455242-78,Medical Excellence Capital,SonoThera,"Early Stage VC, Seed Round, University Spin-Out",United States,,,0.25 - 20.00,"Digital Health, HealthTech, Life Sciences",Pharmaceuticals and Biotechnology,6,5,,5,5,6,Venture Capital,310.00,"New York, NY",Actively Seeking New Investments,"Founded in 2020, Medical Excellence Capital is a venture capital firm based in New York. The firm prefers to invest in drug discovery, artificial intelligence, synthetic biology, regenerative medicine, precision medicine, life science and health technology sectors. This firm is a Registered Investment Adviser (RIA).",View Investor Online
228639-25,MiddleGame Ventures,Theia Insights,"Accelerator/Incubator, Convertible Debt, Early Stage VC, Seed Round","Europe, North America, United States",,,0.23 - 6.87,"B2B Payments, Cryptocurrency/Blockchain, FinTech","Financial Services, Software",6,6,1,1,4,5,Venture Capital,148.83,"Luxembourg, Luxembourg",Actively Seeking New Investments,"Founded in 2017, MiddleGame Ventures is a venture capital firm based in Luxembourg. The firm prefers to invest in financial technology, open finance, blockchain and crypto, automated financial data, and embedded ESG sectors across Europe and North America.",View Investor Online
61720-30,MSW Capital,Speedbird Aero,"Convertible Debt, Early Stage VC, Seed Round",Brazil,,,0.10 - 0.58,"AgTech, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, Esports, FinTech, FoodTech, Gaming, HealthTech, Impact Investing, Industrials, Infrastructure, InsurTech, Internet of Things, Manufacturing, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Oil & Gas, Real Estate Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Information Technology, Materials and Resources",6,6,,,1,6,Venture Capital,35.00,"Rio de Janeiro, Brazil",Actively Seeking New Investments,"Founded in 2000, MSW Capital is a venture capital firm based in Rio de Janeiro, Brazil. The firm seeks to invest in two main sectors- infrastructure and retail, with a focus on the consumer sector, fashion and food services, technology, cleantech, and industrial sectors. The firm focused on the process of raising equity for small and medium-sized businesses",View Investor Online
494373-25,Pact VC,Sidekick (Financial Software),"Early Stage VC, Later Stage VC, Seed Round","Europe, United States",,,0.67 - 2.00,"Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, B2B Payments, CleanTech, Climate Tech, Digital Health, EdTech, FinTech, HealthTech, Impact Investing, Infrastructure, InsurTech, Marketing Tech, SaaS, Supply Chain Tech","Business Products and Services (B2B), Energy, Financial Software, Healthcare, Other Financial Services, Other Information Technology",6,6,,,1,6,Venture Capital,39.92,"London, United Kingdom",Actively Seeking New Investments,"Founded in 2023, PactVC is a venture capital investment firm headquartered in London, United Kingdom. The firm is an early-stage fund led by former operators with collective experience building and investing across four continents. Drawing on the founding team's cross-border operator backgrounds and extensive global network, the firm offers hands-on support alongside early conviction capital to globally ambitious founders solving real-world problems with long-term demand across 3 core themes - Access, Betterment & Climate.",View Investor Online
57296-08,Sarsia Management,Cetasol,"Early Stage VC, Seed Round","Italy, Northern Europe, Portugal, Spain, Western Europe",,53.84,0.20 - 5.12,"Artificial Intelligence & Machine Learning, CleanTech, Climate Tech, Digital Health, HealthTech, Impact Investing, Industrials, InsurTech, Internet of Things, Life Sciences, Manufacturing, Oil & Gas, Oncology, Robotics and Drones, SaaS, TMT","Alternative Energy Equipment, Healthcare Devices and Supplies, Other Energy, Pharmaceuticals and Biotechnology, Software",6,6,,,1,6,Venture Capital,44.03,"Bergen, Norway",Actively Seeking New Investments,"Founded in 2006, Sarsia Management is a venture capital firm based in Bergen, Norway. The firm prefers to invest in companies operating in the life sciences, technology, energy, and sustainablity sectors.",View Investor Online
279426-34,Shanghai Zibin Investment Management,Tashan Technology,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,,,TMT,"Commercial Services, Commercial Transportation, Retail, Software",6,6,1,3,6,6,Venture Capital,589.62,"Shanghai, China",Actively Seeking New Investments,"Founded in July 2015, Shanghai Zibin Investment Management is a growth equity investment firm headquartered in Shanghai, China. The firm seeks to invest in consumption, digital, and advanced technology.",View Investor Online
343365-49,Spicehaus Partners,Kemaro,"Early Stage VC, Seed Round",Switzerland,,2.67,0.19 - 1.86,"AdTech, Artificial Intelligence & Machine Learning, Augmented Reality, B2B Payments, Big Data, CloudTech & DevOps, Construction Technology, Cybersecurity, EdTech, FinTech, HR Tech, InsurTech, Internet of Things, Legal Tech, LOHAS & Wellness, Marketing Tech, SaaS, Supply Chain Tech, TMT, Virtual Reality","Business Products and Services (B2B), Communications and Networking, IT Services, Other Information Technology, Software",6,6,,3,4,6,Venture Capital,38.49,"Zug, Switzerland",Actively Seeking New Investments,"Founded in 2018, Spicehaus Partners is a venture capital firm based in Zug, Switzerland. The firm prefers to invest in B2B technology sector firms based in Switzerland.",View Investor Online
96767-11,Stony Lonesome Group,American Antenna,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",United States,,,0.25 - 5.00,"Artificial Intelligence & Machine Learning, Big Data, Cryptocurrency/Blockchain, Cybersecurity, HealthTech, Impact Investing, Robotics and Drones, Space Technology","Commercial Products, Healthcare Devices and Supplies, IT Services, Other Financial Services, Services (Non-Financial), Software",6,6,,4,4,6,Venture Capital,125.00,"Tampa, FL",Actively Seeking New Investments,"Founded in 2011, Stony Lonesome Group is a Venture Capital Firm based in Tampa, Florida. The firm seeks to invest in dual-use deep technology. The firm sectors include cybersecurity, national security, military, AI/ML, autonomy/UAV, robotics, space/quantum, med tech, healthcare, and human performance.",View Investor Online
